problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin0 familysc-fcl-nrc-0.01,0.99,0 50 9.234235720593599 50 5.9811080503464
herbbin0 familysc-fcl-nrc-0.10,0.90,0 50 9.234235720593599 50 5.9843436908724
herbbin0 familysc-fcl-nrc-0.20,0.80,0 50 9.234235720593599 50 6.069552426338402
herbbin0 familysc-fcl-nrc-0.30,0.70,0 50 9.234235720593599 50 6.1148567342758
herbbin0 familysc-fcl-nrc-0.40,0.60,0 50 9.234235720593599 50 5.9974046516416015
herbbin0 familysc-fcl-nrc-0.50,0.50,0 50 9.234235720593599 50 5.9837887954702005
herbbin0 familysc-fcl-nrc-0.60,0.40,0 50 9.234235720593599 50 6.0872770929336015
herbbin0 familysc-fcl-nrc-0.70,0.30,0 50 9.234235720593599 50 6.267844462394999
herbbin0 familysc-fcl-nrc-0.80,0.20,0 50 9.234235720593599 50 6.060241541862999
herbbin0 familysc-fcl-nrc-0.90,0.10,0 50 9.192674498519398 50 6.054296646118997
herbbin0 familysc-fcl-nrc-1.00,0.00,0 50 6.163987579377999 50 6.565402469635599
