problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin0 lemur-fcl-nrc-0.01,0.99,0 50 8.816516022590799 50 11.603780188557403
herbbin0 lemur-fcl-nrc-0.10,0.90,0 50 6.9225859736311985 50 13.138014035220797
herbbin0 lemur-fcl-nrc-0.20,0.80,0 50 6.5214016996298 50 13.425094490052397
herbbin0 lemur-fcl-nrc-0.30,0.70,0 50 6.283756056085798 50 13.797544541360002
herbbin0 lemur-fcl-nrc-0.40,0.60,0 50 6.2315442527873985 50 15.087652716636
herbbin0 lemur-fcl-nrc-0.50,0.50,0 50 6.1867248112077995 50 15.3139919137994
herbbin0 lemur-fcl-nrc-0.60,0.40,0 50 6.182617308084799 50 15.350368566517204
herbbin0 lemur-fcl-nrc-0.70,0.30,0 50 6.174574801273199 50 15.927673149108202
herbbin0 lemur-fcl-nrc-0.80,0.20,0 50 6.169772388541999 50 16.018925995828
herbbin0 lemur-fcl-nrc-0.90,0.10,0 50 6.165852995538598 50 16.19130394459181
herbbin0 lemur-fcl-nrc-1.00,0.00,0 50 6.163987579377999 50 16.203806934355594
