problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin0 lemur-fcl-wrc-0.01,0.99,0 50 8.816516022590799 50 7.127859444619199
herbbin0 lemur-fcl-wrc-0.10,0.90,0 50 6.9225859736311985 50 8.462912983892
herbbin0 lemur-fcl-wrc-0.20,0.80,0 50 6.5214016996298 50 8.877644944191001
herbbin0 lemur-fcl-wrc-0.30,0.70,0 50 6.283756056085798 50 9.3299275541278
herbbin0 lemur-fcl-wrc-0.40,0.60,0 50 6.2315442527873985 50 10.6565962553038
herbbin0 lemur-fcl-wrc-0.50,0.50,0 50 6.1867248112077995 50 10.761009845737998
herbbin0 lemur-fcl-wrc-0.60,0.40,0 50 6.182617308084799 50 11.074680314067603
herbbin0 lemur-fcl-wrc-0.70,0.30,0 50 6.174574801273199 50 11.669243440629801
herbbin0 lemur-fcl-wrc-0.80,0.20,0 50 6.169772388541999 50 11.627161588669
herbbin0 lemur-fcl-wrc-0.90,0.10,0 50 6.165852995538598 50 11.5291728973398
herbbin0 lemur-fcl-wrc-1.00,0.00,0 50 6.163987579377999 50 11.591336479180004
