problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin1 family-ode-nrc-0.01,0.99,0 50 6.062279614467801 50 5.766377611160401
herbbin1 family-ode-nrc-0.10,0.90,0 50 6.062279614467801 50 5.666066813468401
herbbin1 family-ode-nrc-0.20,0.80,0 50 6.062279614467801 50 5.7272477245334
herbbin1 family-ode-nrc-0.30,0.70,0 50 6.062279614467801 50 5.782698550223801
herbbin1 family-ode-nrc-0.40,0.60,0 50 6.062279614467801 50 5.7726921510694
herbbin1 family-ode-nrc-0.50,0.50,0 50 6.062279614467801 50 5.623967323303001
herbbin1 family-ode-nrc-0.60,0.40,0 50 6.062279614467801 50 5.726993522644001
herbbin1 family-ode-nrc-0.70,0.30,0 50 6.062279614467801 50 5.6291205453865985
herbbin1 family-ode-nrc-0.80,0.20,0 50 6.062279614467801 50 5.6933355951312
herbbin1 family-ode-nrc-0.90,0.10,0 50 6.062279614467801 50 5.693049197196201
herbbin1 family-ode-nrc-1.00,0.00,0 50 4.35014117783 50 6.0053735017782
