problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin1 familysc-ode-nrc-0.01,0.99,0 50 5.937701076860401 50 5.770580310821399
herbbin1 familysc-ode-nrc-0.10,0.90,0 50 5.937701076860401 50 5.720933346747398
herbbin1 familysc-ode-nrc-0.20,0.80,0 50 5.937701076860401 50 5.842303318977801
herbbin1 familysc-ode-nrc-0.30,0.70,0 50 5.937701076860401 50 5.8333385705946
herbbin1 familysc-ode-nrc-0.40,0.60,0 50 5.937701076860401 50 5.682956433295602
herbbin1 familysc-ode-nrc-0.50,0.50,0 50 5.937701076860401 50 5.838774137496598
herbbin1 familysc-ode-nrc-0.60,0.40,0 50 5.937701076860401 50 5.8319540739055995
herbbin1 familysc-ode-nrc-0.70,0.30,0 50 5.937701076860401 50 5.789631724357401
herbbin1 familysc-ode-nrc-0.80,0.20,0 50 5.937701076860401 50 5.751813473702
herbbin1 familysc-ode-nrc-0.90,0.10,0 50 5.937701076860401 50 5.8455663537984
herbbin1 familysc-ode-nrc-1.00,0.00,0 50 4.35014117783 50 6.033527412414599
