problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin1 familysc-ode-wrc-0.01,0.99,0 50 5.937701076860401 50 11.921504292488
herbbin1 familysc-ode-wrc-0.10,0.90,0 50 5.937701076860401 50 12.007628064157805
herbbin1 familysc-ode-wrc-0.20,0.80,0 50 5.937701076860401 50 12.018575234409402
herbbin1 familysc-ode-wrc-0.30,0.70,0 50 5.937701076860401 50 12.060768113136596
herbbin1 familysc-ode-wrc-0.40,0.60,0 50 5.937701076860401 50 12.004061098097802
herbbin1 familysc-ode-wrc-0.50,0.50,0 50 5.937701076860401 50 11.978002905849396
herbbin1 familysc-ode-wrc-0.60,0.40,0 50 5.937701076860401 50 12.113700747487998
herbbin1 familysc-ode-wrc-0.70,0.30,0 50 5.937701076860401 50 11.822402071954999
herbbin1 familysc-ode-wrc-0.80,0.20,0 50 5.937701076860401 50 12.023426966662798
herbbin1 familysc-ode-wrc-0.90,0.10,0 50 5.937701076860401 50 11.996740512843804
herbbin1 familysc-ode-wrc-1.00,0.00,0 50 4.35014117783 50 21.13398454666059
