problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin1nom family-ode-wrc-0.01,0.99,0 50 6.198645496065001 50 11.928304476737004
herbbin1nom family-ode-wrc-0.10,0.90,0 50 6.198645496065001 50 11.894365787504801
herbbin1nom family-ode-wrc-0.20,0.80,0 50 6.198645496065001 50 12.074450163837199
herbbin1nom family-ode-wrc-0.30,0.70,0 50 6.198645496065001 50 12.025232753759399
herbbin1nom family-ode-wrc-0.40,0.60,0 50 6.198645496065001 50 12.030264039043002
herbbin1nom family-ode-wrc-0.50,0.50,0 50 6.198645496065001 50 11.8448420715334
herbbin1nom family-ode-wrc-0.60,0.40,0 50 6.198645496065001 50 11.914864616390801
herbbin1nom family-ode-wrc-0.70,0.30,0 50 6.198645496065001 50 11.898271465300002
herbbin1nom family-ode-wrc-0.80,0.20,0 50 6.198645496065001 50 12.026901106830001
herbbin1nom family-ode-wrc-0.90,0.10,0 50 6.198645496065001 50 11.872561187742804
herbbin1nom family-ode-wrc-1.00,0.00,0 50 4.8068762365444 50 17.1615916824328
