problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin1nom lemur-fcl-wrc-0.01,0.99,0 50 6.074628737993603 50 4.548244357109399
herbbin1nom lemur-fcl-wrc-0.10,0.90,0 50 5.311118176097802 50 4.322492485046399
herbbin1nom lemur-fcl-wrc-0.20,0.80,0 50 5.059680240308401 50 4.594784951210799
herbbin1nom lemur-fcl-wrc-0.30,0.70,0 50 4.937940711301601 50 4.716753544806801
herbbin1nom lemur-fcl-wrc-0.40,0.60,0 50 4.868905798460401 50 5.1857516908650005
herbbin1nom lemur-fcl-wrc-0.50,0.50,0 50 4.845256435396601 50 5.258375844955
herbbin1nom lemur-fcl-wrc-0.60,0.40,0 50 4.824555346674001 50 5.6697431898109985
herbbin1nom lemur-fcl-wrc-0.70,0.30,0 50 4.8197769578164005 50 5.747538690565399
herbbin1nom lemur-fcl-wrc-0.80,0.20,0 50 4.8115242898744 50 5.847000899313798
herbbin1nom lemur-fcl-wrc-0.90,0.10,0 50 4.8071660897148005 50 6.1190321731556
herbbin1nom lemur-fcl-wrc-1.00,0.00,0 50 4.8068762365444 50 6.0806479454048
