problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin2 family-fcl-nrc-0.01,0.99,0 50 6.881090313856399 50 5.673200678826199
herbbin2 family-fcl-nrc-0.10,0.90,0 50 6.881090313856399 50 5.7126433086401995
herbbin2 family-fcl-nrc-0.20,0.80,0 50 6.881090313856399 50 5.699606499671599
herbbin2 family-fcl-nrc-0.30,0.70,0 50 6.881090313856399 50 5.628592324257198
herbbin2 family-fcl-nrc-0.40,0.60,0 50 6.881090313856399 50 5.627854952812201
herbbin2 family-fcl-nrc-0.50,0.50,0 50 6.881090313856399 50 5.6831347322464
herbbin2 family-fcl-nrc-0.60,0.40,0 50 6.881090313856399 50 5.6626868581770005
herbbin2 family-fcl-nrc-0.70,0.30,0 50 6.881090313856399 50 5.837155590057602
herbbin2 family-fcl-nrc-0.80,0.20,0 50 6.881090313856399 50 5.658997826576
herbbin2 family-fcl-nrc-0.90,0.10,0 50 6.881090313856399 50 5.5948368930817995
herbbin2 family-fcl-nrc-1.00,0.00,0 50 5.1659529993642 50 6.043820729255402
