problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin2 familysc-fcl-wrc-0.01,0.99,0 50 7.222384389357601 50 0.91802432537078
herbbin2 familysc-fcl-wrc-0.10,0.90,0 50 7.222384389357601 50 0.9307211923599799
herbbin2 familysc-fcl-wrc-0.20,0.80,0 50 7.222384389357601 50 0.8905331707003397
herbbin2 familysc-fcl-wrc-0.30,0.70,0 50 7.222384389357601 50 0.9313097047810999
herbbin2 familysc-fcl-wrc-0.40,0.60,0 50 7.222384389357601 50 0.9420922565458401
herbbin2 familysc-fcl-wrc-0.50,0.50,0 50 7.222384389357601 50 0.90016724109636
herbbin2 familysc-fcl-wrc-0.60,0.40,0 50 7.222384389357601 50 0.9002403020857396
herbbin2 familysc-fcl-wrc-0.70,0.30,0 50 7.222384389357601 50 0.9216989755627999
herbbin2 familysc-fcl-wrc-0.80,0.20,0 50 7.222384389357601 50 0.88319366455098
herbbin2 familysc-fcl-wrc-0.90,0.10,0 50 7.178561074545601 50 0.9143643951418601
herbbin2 familysc-fcl-wrc-1.00,0.00,0 50 5.1659529993642 50 1.0930080795283397
