problem planner-seedless path-length-numfin path-length-finmean python-totaltime-numfin python-totaltime-finmean
herbbin2 lemur-ode-wrc-0.01,0.99,0 50 6.390760775380001 50 4.177709999082602
herbbin2 lemur-ode-wrc-0.10,0.90,0 50 5.613827173589 50 4.474163866040801
herbbin2 lemur-ode-wrc-0.20,0.80,0 50 5.319787829011601 50 4.662338113784
herbbin2 lemur-ode-wrc-0.30,0.70,0 50 5.223234957422601 50 4.7283525371562
herbbin2 lemur-ode-wrc-0.40,0.60,0 50 5.1862259135464 50 5.187184553144999
herbbin2 lemur-ode-wrc-0.50,0.50,0 50 5.176061670247 50 5.067115120885799
herbbin2 lemur-ode-wrc-0.60,0.40,0 50 5.172664100865201 50 5.194795670511798
herbbin2 lemur-ode-wrc-0.70,0.30,0 50 5.169982087700601 50 5.3433630228048
herbbin2 lemur-ode-wrc-0.80,0.20,0 50 5.1699693058296 50 5.4090636110314
herbbin2 lemur-ode-wrc-0.90,0.10,0 50 5.1666391067738004 50 5.803022813796599
herbbin2 lemur-ode-wrc-1.00,0.00,0 50 5.1659529993642 50 5.5648793983466
