planner-seedless e8-dur-total-numfin e8-dur-total-finmean e8-dur-roadmapgen-numfin e8-dur-roadmapgen-finmean e8-dur-search-numfin e8-dur-search-finmean e8-dur-eval-numfin e8-dur-eval-finmean
e8-nchaltonoffdens10000,2.0-0.01,0.99,0 50 5.061305274659999 50 4.005714265000001 50 0.06653153746 50 0.8654481207800001
e8-nchaltonoffdens10000,2.0-0.10,0.90,0 50 5.04054895344 50 3.9236919357800004 50 0.0735362207 50 0.9157686746799999
e8-nchaltonoffdens10000,2.0-0.20,0.80,0 50 5.228507489279999 50 4.022850104719999 50 0.09164325864 50 0.9732690725400001
e8-nchaltonoffdens10000,2.0-0.30,0.70,0 50 5.2085313846400005 50 4.012824611799999 50 0.09987164882 50 0.9549876405599999
e8-nchaltonoffdens10000,2.0-0.40,0.60,0 50 5.366480174959999 50 4.06131711904 50 0.10307562612000001 50 1.0520770379199995
e8-nchaltonoffdens10000,2.0-0.50,0.50,0 50 5.1047344378999995 50 3.87181877642 50 0.10273819556 50 1.0007197977000002
e8-nchaltonoffdens10000,2.0-0.60,0.40,0 50 5.294424529059999 50 3.9592458643400006 50 0.11216435794000003 50 1.0848119511
e8-nchaltonoffdens10000,2.0-0.70,0.30,0 50 5.382137694520001 50 4.064152956579999 50 0.11231068703999998 50 1.0717467653800004
e8-nchaltonoffdens10000,2.0-0.80,0.20,0 50 5.35710124936 50 3.9752825470399995 50 0.12761410616000002 50 1.1133503027799998
e8-nchaltonoffdens10000,2.0-0.90,0.10,0 50 5.491660414719999 50 4.0378166134199995 50 0.13338422543999998 50 1.1935465391800002
e8-nchaltonoffdens10000,2.0-1.00,0.00,0 50 5.39069997506 50 3.9534512955600007 50 0.12026885128 50 1.17381668804
