planner-seedless e8-dur-total-numfin e8-dur-total-finmean e8-dur-roadmapgen-numfin e8-dur-roadmapgen-finmean e8-dur-search-numfin e8-dur-search-finmean e8-dur-eval-numfin e8-dur-eval-finmean
e8-nchaltonoffdens10000,2.0-0.01,0.99,0 50 15.122292300139998 50 5.59721576994 50 0.32627167634 50 8.967835027800001
e8-nchaltonoffdens10000,2.0-0.10,0.90,0 50 14.175315400540002 50 5.90369494756 50 0.48645053538000016 50 7.520306873260001
e8-nchaltonoffdens10000,2.0-0.20,0.80,0 50 14.577268599699996 50 6.235558794339999 50 0.64015580482 50 7.450221264179998
e8-nchaltonoffdens10000,2.0-0.30,0.70,0 50 14.374071060599995 50 6.082148677020002 50 0.7267767208000001 50 7.31385015608
e8-nchaltonoffdens10000,2.0-0.40,0.60,0 50 15.127071644700006 50 6.118161663999998 50 0.88245012238 50 7.854469486439998
e8-nchaltonoffdens10000,2.0-0.50,0.50,0 50 15.406247256840002 50 6.2255208668 50 0.9445647562399999 50 7.9647851553999995
e8-nchaltonoffdens10000,2.0-0.60,0.40,0 50 16.21439822472 50 6.53709702702 50 1.0135280826000002 50 8.385443813120002
e8-nchaltonoffdens10000,2.0-0.70,0.30,0 50 15.958949465500005 50 6.2187964883000015 50 1.0959142275000002 50 8.3555084917
e8-nchaltonoffdens10000,2.0-0.80,0.20,0 50 16.11390668417999 50 6.48614714676 50 1.0851510845 50 8.26396201458
e8-nchaltonoffdens10000,2.0-0.90,0.10,0 50 16.20767714858 50 6.224982601579998 50 1.16013369196 50 8.523103003539998
e8-nchaltonoffdens10000,2.0-1.00,0.00,0 50 16.29384477066 50 6.296624943439998 50 1.1627782727399998 50 8.547424680559999
