lambda-u utility-finmean-conloop
0.0 6.820520156026248
0.1 6.364522219837636
0.2 5.910217281422381
0.3 5.457832826304713
0.4 5.007591501477536
0.5 4.559692141360357
0.6 4.1142881480894555
0.7 3.671467676941418
0.8 3.2312409823649446
0.9 2.793538885205947
1.0 2.3582228671183914
1.0 1.8347799004464078
0.9 2.284443945528333
0.8 2.7317219115388145
0.7 3.176475280131822
0.6 3.6186348721532644
0.5 4.058210942051841
0.4 4.495291645104143
0.3 4.93003038344645
0.2 5.362625991498258
0.1 5.7933011162524854
0.0 6.222283243233353
