lambda-u utility-finmean-conloop
0.0 6.417764617747969
0.1 6.44553866309258
0.2 6.475818640016113
0.3 6.508532399171745
0.4 6.543540543588235
0.5 6.580655201917979
0.6 6.619661557204553
0.7 6.660337347053963
0.8 6.702467585977528
0.9 6.745853881148625
1.0 6.7903190930157065
1.0 6.134049326631488
0.9 6.122601158150818
0.8 6.1100740729741485
0.7 6.096290931549962
0.6 6.081053341051607
0.5 6.064146315990419
0.4 6.045347593972404
0.3 6.024442358041135
0.2 6.0012427368490115
0.1 5.975609333424779
0.0 5.947469998421629
