lambda-u utility-finmean-conloop
0.0 12.657016469892076
0.1 11.713599169225642
0.2 10.773495149713208
0.3 9.83762309848532
0.4 8.907187925857903
0.5 7.983741374156529
0.6 7.069205354329709
0.7 6.16579324268754
0.8 5.275746659290042
0.9 4.4008615054003615
1.0 3.5419500524790952
1.0 2.3944835488991845
0.9 3.2648651238400905
0.8 4.119272997812579
0.7 4.958519442277256
0.6 5.7844003584972565
0.5 6.599157366532611
0.4 7.405003842693417
0.3 8.203861697928165
0.2 8.99728267456245
0.1 9.78647168291219
0.0 10.572347410107914
