lambda-u utility-finmean-conloop
0.0 4.958971795528845
0.1 4.646408394086627
0.2 4.335872033193169
0.3 4.02713354932054
0.4 3.7199407381701275
0.5 3.414047950513039
0.6 3.109233699112151
0.7 2.8053079126670037
0.8 2.502112437289785
0.9 2.199518050807898
1.0 1.8974201768369472
1.0 1.4268394762530514
0.9 1.7572267063079
0.8 2.087117423851814
0.7 2.416407052500395
0.6 2.7449663700810483
0.5 3.0726372227059597
0.4 3.3992295390746716
0.3 3.724521831950061
0.2 4.0482684521032315
0.1 4.370217195235574
0.0 4.690138897819157
