lambda-u utility-finmean-conloop
0.0 4.937673591659258
0.1 4.642177269975414
0.2 4.335872033193169
0.3 4.02713354932054
0.4 3.7039648372197167
0.5 3.3573641711261226
0.6 3.013813766999338
0.7 2.6718208807003547
0.8 2.2673601002493573
0.9 1.859987300806572
1.0 1.4559824882688563
1.0 1.237198730831263
0.9 1.6260994316030963
0.8 2.011632145469859
0.7 2.369450724386903
0.6 2.718116383447341
0.5 3.0652245246799756
0.4 3.405118733644332
0.3 3.724521831950061
0.2 4.0482684521032315
0.1 4.368215308915203
0.0 4.676078881429542
