lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 5.2501214 0.10836762275938325 10.0 rrtconnect-default-sc10.00
0.1 5.872969237314039 0.1786245155807608 4.0 rrtconnect-default-sc04.00
0.2 5.967362074628082 0.16888615428609047 4.0 rrtconnect-default-sc04.00
0.3 6.399999333942117 0.2623436661188789 2.5 rrtconnect-default-sc02.50
0.4 6.231785825256161 0.2414337149350646 2.5 rrtconnect-default-sc02.50
0.5 6.063572316570199 0.22205116164875988 2.5 rrtconnect-default-sc02.50
0.6 5.827407175884239 0.2274975904049373 1.6 rrtconnect-default-sc01.60
0.7 5.490937047198279 0.23390165921584014 1.0 rrtconnect-default-sc01.00
0.8 4.59947134651232 0.19769009816038735 0.0 rrtconnect-default-sc00.00
0.9 3.6609880598263604 0.17811635727314346 0.0 rrtconnect-default-sc00.00
1.0 2.7225047731404004 0.16627001748401152 0.0 rrtconnect-default-sc00.00
