lambda-u utility-finmean-conloop
0.0 7.103071150569028
0.1 7.427686278533519
0.2 7.803533027410504
0.3 8.20054901560954
0.4 8.607432604308448
0.5 9.019547342647359
0.6 9.43472850626578
0.7 9.851848965385155
0.8 10.270269375101943
0.9 10.689601834164176
1.0 11.109598010601733
1.0 5.804134909090945
0.9 5.8670109360521145
0.8 5.9292232456379566
0.7 5.9905235058783575
0.6 6.050523815521348
0.5 6.108584829663382
0.4 6.163579418525902
0.3 6.2133428577484215
0.2 6.2532386964710724
0.1 6.271965295871672
0.0 6.239460274359769
