lambda-u utility-finmean-conloop
0.0 5.432902383494021
0.1 5.056093463231149
0.2 4.670112481025413
0.3 4.284792094532772
0.4 3.9001715781882655
0.5 3.5162870700253976
0.6 3.133170219177941
0.7 2.726995877337576
0.8 2.3145787414115095
0.9 1.8381809359423285
1.0 1.3523581984689015
1.0 1.0293224808527777
0.9 1.508425536524995
0.8 1.9010362116649715
0.7 2.2916141638572456
0.6 2.653581914718506
0.5 3.0313602649706417
0.4 3.4083709579073647
0.3 3.78464564266245
0.2 4.160220457269407
0.1 4.535134676163261
0.0 4.899003615234379
