lambda-u utility-finmean-conloop
0.0 9.051592913157274
0.1 8.885656197006016
0.2 8.723991056357882
0.3 8.566194825181583
0.4 8.41178516146013
0.5 8.26026533778111
0.6 8.111169492371635
0.7 7.964086345640709
0.8 7.8186666375278655
0.9 7.6746208299694265
1.0 7.531712208621517
1.0 6.577323979502879
0.9 6.777332245843291
0.8 6.9762033259731755
0.7 7.173700505548647
0.6 7.3695342465060465
0.5 7.5633552887848845
0.4 7.754752352794181
0.3 7.943259576761057
0.2 8.12838023327308
0.1 8.309631980313261
0.0 8.486612151850325
