lambda-u utility-finmean-conloop
0.0 8.207276943399501
0.1 7.838396480507754
0.2 7.477463460469997
0.3 7.125310929462865
0.4 6.782280187938132
0.5 6.448118992573336
0.6 6.122057534846197
0.7 5.803014397568403
0.8 5.489821083223743
0.9 5.181382869883116
1.0 4.876757894960289
1.0 3.712847789321592
0.9 4.102008261970578
0.8 4.4873554962017606
0.7 4.867947629428909
0.6 5.242689939722933
0.5 5.6104139295676045
0.4 5.97003818177462
0.3 6.320792887821696
0.2 6.662425804386376
0.1 6.995278231920434
0.0 7.3201832166004985
