lambda-u utility-finmean-conloop
0.0 7.2128989287417955
0.1 7.489534519870355
0.2 7.778896175299302
0.3 8.076393876197134
0.4 8.379217373622966
0.5 8.68564410116641
0.6 8.994591875161433
0.7 9.305358941460636
0.8 9.617475412745799
0.9 9.930617091319315
1.0 10.244554155746224
1.0 7.149052707276661
0.9 7.068030495975515
0.8 6.986212898820988
0.7 6.903370094378104
0.6 6.819177884949254
0.5 6.733166383216233
0.4 6.6446338350316285
0.3 6.552498056729409
0.2 6.455036481899194
0.1 6.349438861600096
0.0 6.2311151770006035
