lambda-u utility-finmean-conloop
0.0 6.1021678359149485
0.1 7.376789089934887
0.2 8.744057433044297
0.3 10.136264737335683
0.4 11.537754508189288
0.5 12.943604489944054
0.6 14.351831174760886
0.7 15.761490921981137
0.8 17.17207969421018
0.9 18.583304430263933
1.0 19.994983348354676
1.0 11.934093447223724
0.9 11.291372879944948
0.8 10.648198130629178
0.7 10.004387417488703
0.6 9.359647679339435
0.5 8.713474878786752
0.4 8.064925375171995
0.3 7.412015660656074
0.2 6.749823479577941
0.1 6.062692337317836
0.0 5.282914105968248
