lambda-u utility-finmean-conloop
0.0 10.610144105155786
0.1 23.11016350317917
0.2 36.09754328797656
0.3 49.114849086394436
0.4 62.140177663232464
0.5 75.16879739873904
0.6 88.1990847441132
0.7 101.23033292070949
0.8 114.26218502217958
0.9 127.29444140141479
1.0 140.32698166357736
1.0 76.8641184083186
0.9 70.13195285649289
0.8 63.399503421739745
0.7 56.66664970922153
0.6 49.933192071829566
0.5 43.19877360321548
0.4 36.46268752473378
0.3 29.72331028758348
0.2 22.97591027201305
0.1 16.198584242822182
0.0 8.933897826857272
