lambda-u utility-finmean utility-stderrfinmean
0.0 7.714982158995797 0.33907055154229676
0.1 8.999079924693397 0.5630152283543756
0.2 10.283177690391001 0.8397917948647009
0.3 11.567275456088598 1.1312652973607191
0.4 12.851373221786202 1.4284673220730706
0.5 14.135470987483803 1.7284453738478398
0.6 15.419568753181403 2.0299691459351794
0.7 16.703666518878993 2.332439250966468
0.8 17.9877642845766 2.635529887589334
0.9 19.2718620502742 2.9390490843522312
1.0 20.555959815971804 3.2428765093685183
