lambda-u utility-finmean-conloop
0.0 8.19379997566078
0.1 11.2634420199867
0.2 14.471803320761964
0.3 17.703073863715233
0.4 20.941860954220886
0.5 24.184010598624884
0.6 27.427949151531674
0.7 30.67295132011899
0.8 33.918636876472945
0.9 37.164787404737545
1.0 40.41126855086267
1.0 19.89994150925292
0.9 18.629723313882813
0.8 17.35917450065218
0.7 16.088160715510895
0.6 14.816463542602971
0.5 13.543702754014522
0.4 12.269153056923287
0.3 10.991240805933673
0.2 9.705812007391721
0.1 8.397473966671738
0.0 6.950416669502415
