lambda-u utility-finmean-conloop
0.0 8.19806611677335
0.1 12.753504989839897
0.2 17.61666067788813
0.3 22.516906924348177
0.4 27.42785274790634
0.5 32.34329561886983
0.6 37.26104417827897
0.7 42.18013041447591
0.8 47.10006123061232
0.9 52.02055920744865
1.0 56.94145636963661
1.0 31.797243152405787
0.9 29.359472084002753
0.8 26.92130183024799
0.7 24.482564415793362
0.6 22.042982421399277
0.5 19.602062750217357
0.4 17.158837390589813
0.3 14.71111498355694
0.2 12.252692999425964
0.1 9.757180456883134
0.0 6.953951099358643
