lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 4.864483239999999 0.1894169325570415 10.0 rrtconnect-default-sc10.00
0.1 12.295389368501041 1.409200829045079 6.3 rrtconnect-default-sc06.30
0.2 19.443517301002085 2.7094598324884696 4.0 rrtconnect-default-sc04.00
0.3 26.434705821503126 3.987345903081006 4.0 rrtconnect-default-sc04.00
0.4 33.42589434200416 5.26693705720134 4.0 rrtconnect-default-sc04.00
0.5 40.20321599250521 6.5652782916420485 2.5 rrtconnect-default-sc02.50
0.6 46.93717788700626 7.841803458934245 2.5 rrtconnect-default-sc02.50
0.7 53.50938402950727 9.138062395262219 1.6 rrtconnect-default-sc01.60
0.8 59.96088182400832 10.421893976031113 1.0 rrtconnect-default-sc01.00
0.9 65.68458656850936 11.686069736914908 0.0 rrtconnect-default-sc00.00
1.0 71.3730254650104 12.951974306205484 0.0 rrtconnect-default-sc00.00
