lambda-u utility-finmean-conloop
0.0 15.019000194997414
0.1 22.571684729737374
0.2 30.728276225746313
0.3 38.98575586794502
0.4 47.27493970627769
0.5 55.577926942419005
0.6 63.888127973328196
0.7 72.20256468289786
0.8 80.51969778774789
0.9 88.8386524766834
1.0 97.15889510517314
1.0 46.38715582484764
0.9 43.02750812433532
0.8 39.66657248426874
0.7 36.30381526011671
0.6 32.93836164068428
0.5 29.568672342591377
0.4 26.191769249730626
0.3 22.80106275906123
0.2 19.378652072257843
0.1 15.855353239264703
0.0 11.728147445002598
