lambda-u utility-finmean-conloop
0.0 6.671443957746465
0.1 7.583339077030532
0.2 8.237616675260814
0.3 8.002442759951116
0.4 7.786072529500127
0.5 7.583080755483648
0.6 7.389377516932915
0.7 7.202143022820426
0.8 7.0194881222122625
0.9 6.840145813302034
1.0 6.663253879998416
1.0 4.220805348901144
0.9 4.614583293945572
0.8 5.005910863383386
0.7 5.393925841123268
0.6 5.777361225358823
0.5 6.15432786515613
0.4 6.5220059694877
0.3 6.876305617384749
0.2 7.211801580423105
0.1 6.854552507716111
0.0 5.939095666538735
