lambda-u utility-finmean-conloop
0.0 15.420077723626608
0.1 17.682709504638105
0.2 20.181156856370936
0.3 22.800784078963595
0.4 25.48034390752579
0.5 28.19175240904535
0.6 30.921579684562552
0.7 33.66286303241268
0.8 36.41170351666315
0.9 39.16577034135345
1.0 41.923592711781566
1.0 26.728854101829025
0.9 25.404046610896074
0.8 24.07548357422533
0.7 22.74169419711474
0.6 21.400347683603798
0.5 20.047545097759958
0.4 18.676323737918448
0.3 17.273253705119586
0.2 15.810251066351189
0.1 14.226068556722952
0.0 12.40607047637339
