lambda-u utility-finmean utility-stderrfinmean
0.0 8.547515479999998 0.48741760302311704
0.1 11.275386272680528 0.629027432098639
0.2 14.003257065361062 0.9204624755782079
0.3 16.731127858041592 1.2618648483818171
0.4 19.458998650722123 1.6219835665736317
0.5 22.186869443402646 1.9906869550251536
0.6 24.914740236083176 2.3639616078944403
0.7 27.642611028763696 2.7399398683747713
0.8 30.37048182144424 3.1176437495389693
0.9 33.098352614124764 3.4965140760174847
1.0 35.8262234068053 3.8762088290695265
