problem planner-seedless param path-length-num path-length-numinf path-length-numfin path-length-finmean path-length-stderrfinmean num-checks-num num-checks-numinf num-checks-numfin num-checks-finmean num-checks-stderrfinmean python-totaltime-num python-totaltime-numinf python-totaltime-numfin python-totaltime-finmean python-totaltime-stderrfinmean utility0.00time-num utility0.00time-numinf utility0.00time-numfin utility0.00time-finmean utility0.00time-stderrfinmean utility0.25time-num utility0.25time-numinf utility0.25time-numfin utility0.25time-finmean utility0.25time-stderrfinmean utility0.50time-num utility0.50time-numinf utility0.50time-numfin utility0.50time-finmean utility0.50time-stderrfinmean utility0.75time-num utility0.75time-numinf utility0.75time-numfin utility0.75time-finmean utility0.75time-stderrfinmean utility1.00time-num utility1.00time-numinf utility1.00time-numfin utility1.00time-finmean utility1.00time-stderrfinmean
herbbin-2 family-haltonoffdens10000,2.0-1.00,0.00,0 0.0 50 0 50 8.706258001088202 0.1408510443190004 50 0 50 0.0 0.0 50 0 50 2.013449406623901 0.169098773560217 50 0 50 8.706258001088202 0.1408510443190004 50 0 50 7.033055852472123 0.14180561772477387 50 0 50 5.35985370385605 0.14716657846849834 50 0 50 3.6866515552399743 0.15648170016079507 50 0 50 2.013449406623901 0.169098773560217
herbbin-2 family-haltonoffdens10000,2.0-0.90,0.10,0 0.1 50 0 50 8.706258001088202 0.1408510443190004 50 0 50 0.0 0.0 50 0 50 1.9256451177592597 0.1646662078767567 50 0 50 8.706258001088202 0.1408510443190004 50 0 50 7.011104780255964 0.13863938155689476 50 0 50 5.3159515594237305 0.1422233776535338 50 0 50 3.620798338591494 0.15119143422779405 50 0 50 1.9256451177592597 0.1646662078767567
herbbin-2 family-haltonoffdens10000,2.0-0.80,0.20,0 0.2 50 0 50 8.710809125435802 0.14103867394800884 50 0 50 0.0 0.0 50 0 50 1.8392304944988396 0.16238870086369492 50 0 50 8.710809125435802 0.14103867394800884 50 0 50 6.99291446770156 0.13836110297660728 50 0 50 5.275019809967321 0.1413298305716023 50 0 50 3.5571251522330813 0.14960911110790096 50 0 50 1.8392304944988396 0.16238870086369492
herbbin-2 family-haltonoffdens10000,2.0-0.70,0.30,0 0.3 50 0 50 8.7362444168456 0.1439328028121881 50 0 50 0.0 0.0 50 0 50 1.7307534170148193 0.16087683330296904 50 0 50 8.7362444168456 0.1439328028121881 50 0 50 6.984871666887905 0.14251268107415088 50 0 50 5.233498916930209 0.14503465933643575 50 0 50 3.482126166972516 0.1513017387575311 50 0 50 1.7307534170148193 0.16087683330296904
herbbin-2 family-haltonoffdens10000,2.0-0.60,0.40,0 0.4 50 0 50 8.741977352824401 0.14529172568741666 50 0 50 0.0 0.0 50 0 50 1.6139872074122403 0.13693428204951416 50 0 50 8.741977352824401 0.14529172568741666 50 0 50 6.9599798164713595 0.13455285085762442 50 0 50 5.17798228011832 0.12926568140335773 50 0 50 3.3959847437652813 0.1300966014064484 50 0 50 1.6139872074122403 0.13693428204951416
herbbin-2 family-haltonoffdens10000,2.0-0.50,0.50,0 0.5 50 0 50 8.8440637996332 0.14745484280702476 50 0 50 0.0 0.0 50 0 50 1.4763134670249203 0.13811592634054662 50 0 50 8.8440637996332 0.14745484280702476 50 0 50 7.0021262164811295 0.13519206407479337 50 0 50 5.160188633329059 0.12913969865846728 50 0 50 3.31825105017699 0.13016694438156898 50 0 50 1.4763134670249203 0.13811592634054662
herbbin-2 family-haltonoffdens10000,2.0-0.40,0.60,0 0.6 50 0 50 9.017015613084801 0.161485055960962 50 0 50 0.0 0.0 50 0 50 1.2377516078949196 0.12494523001569806 50 0 50 9.017015613084801 0.161485055960962 50 0 50 7.072199611787331 0.13881433703561585 50 0 50 5.1273836104898605 0.12351410306832097 50 0 50 3.182567609192391 0.1184751609794976 50 0 50 1.2377516078949196 0.12494523001569806
herbbin-2 family-haltonoffdens10000,2.0-0.30,0.70,0 0.7 50 0 50 9.190265041562803 0.1703351262196593 50 0 50 0.0 0.0 50 0 50 1.0172133159634602 0.0887573190819163 50 0 50 9.190265041562803 0.1703351262196593 50 0 50 7.147002110162963 0.14240410242659954 50 0 50 5.10373917876313 0.11766274057747338 50 0 50 3.060476247363294 0.09854355190014392 50 0 50 1.0172133159634602 0.0887573190819163
herbbin-2 family-haltonoffdens10000,2.0-0.20,0.80,0 0.8 50 0 50 10.077630016946403 0.2367279932666081 50 0 50 0.0 0.0 50 0 50 0.7878870105740596 0.06474189705112221 50 0 50 10.077630016946403 0.2367279932666081 50 0 50 7.755194265353316 0.17994608848473717 50 0 50 5.43275851376023 0.12590726940446242 50 0 50 3.110322762167146 0.08035097995561903 50 0 50 0.7878870105740596 0.06474189705112221
herbbin-2 family-haltonoffdens10000,2.0-0.10,0.90,0 0.9 50 0 50 12.121246995571802 0.26894951576466875 50 0 50 0.0 0.0 50 0 50 0.4873671627044597 0.021730026178210654 50 0 50 12.121246995571802 0.26894951576466875 50 0 50 9.212777037354964 0.20407687561099216 50 0 50 6.30430707913813 0.13943316034377157 50 0 50 3.3958371209212945 0.07560785119927928 50 0 50 0.4873671627044597 0.021730026178210654
herbbin-2 family-haltonoffdens10000,2.0-0.01,0.99,0 0.99 50 0 50 14.463969051504598 0.4497427718843515 50 0 50 0.0 0.0 50 0 50 0.5058931589126201 0.025483599455528486 50 0 50 14.463969051504598 0.4497427718843515 50 0 50 10.974450078356606 0.34172897294620336 50 0 50 7.484931105208608 0.2338351480785437 50 0 50 3.9954121320606144 0.1263689734086736 50 0 50 0.5058931589126201 0.025483599455528486
