problem planner-seedless param path-length-num path-length-numinf path-length-numfin path-length-finmean path-length-stderrfinmean num-checks-num num-checks-numinf num-checks-numfin num-checks-finmean num-checks-stderrfinmean python-totaltime-num python-totaltime-numinf python-totaltime-numfin python-totaltime-finmean python-totaltime-stderrfinmean planner-dur-total-num planner-dur-total-numinf planner-dur-total-numfin planner-dur-total-finmean planner-dur-total-stderrfinmean planner-dur-roadmapgen-num planner-dur-roadmapgen-numinf planner-dur-roadmapgen-numfin planner-dur-roadmapgen-finmean planner-dur-roadmapgen-stderrfinmean planner-dur-search-num planner-dur-search-numinf planner-dur-search-numfin planner-dur-search-finmean planner-dur-search-stderrfinmean planner-dur-eval-num planner-dur-eval-numinf planner-dur-eval-numfin planner-dur-eval-finmean planner-dur-eval-stderrfinmean utility0.00cc-num utility0.00cc-numinf utility0.00cc-numfin utility0.00cc-finmean utility0.00cc-stderrfinmean utility0.00time-num utility0.00time-numinf utility0.00time-numfin utility0.00time-finmean utility0.00time-stderrfinmean utility0.10cc-num utility0.10cc-numinf utility0.10cc-numfin utility0.10cc-finmean utility0.10cc-stderrfinmean utility0.10time-num utility0.10time-numinf utility0.10time-numfin utility0.10time-finmean utility0.10time-stderrfinmean utility0.20cc-num utility0.20cc-numinf utility0.20cc-numfin utility0.20cc-finmean utility0.20cc-stderrfinmean utility0.20time-num utility0.20time-numinf utility0.20time-numfin utility0.20time-finmean utility0.20time-stderrfinmean utility0.30cc-num utility0.30cc-numinf utility0.30cc-numfin utility0.30cc-finmean utility0.30cc-stderrfinmean utility0.30time-num utility0.30time-numinf utility0.30time-numfin utility0.30time-finmean utility0.30time-stderrfinmean utility0.40cc-num utility0.40cc-numinf utility0.40cc-numfin utility0.40cc-finmean utility0.40cc-stderrfinmean utility0.40time-num utility0.40time-numinf utility0.40time-numfin utility0.40time-finmean utility0.40time-stderrfinmean utility0.50cc-num utility0.50cc-numinf utility0.50cc-numfin utility0.50cc-finmean utility0.50cc-stderrfinmean utility0.50time-num utility0.50time-numinf utility0.50time-numfin utility0.50time-finmean utility0.50time-stderrfinmean utility0.60cc-num utility0.60cc-numinf utility0.60cc-numfin utility0.60cc-finmean utility0.60cc-stderrfinmean utility0.60time-num utility0.60time-numinf utility0.60time-numfin utility0.60time-finmean utility0.60time-stderrfinmean utility0.70cc-num utility0.70cc-numinf utility0.70cc-numfin utility0.70cc-finmean utility0.70cc-stderrfinmean utility0.70time-num utility0.70time-numinf utility0.70time-numfin utility0.70time-finmean utility0.70time-stderrfinmean utility0.80cc-num utility0.80cc-numinf utility0.80cc-numfin utility0.80cc-finmean utility0.80cc-stderrfinmean utility0.80time-num utility0.80time-numinf utility0.80time-numfin utility0.80time-finmean utility0.80time-stderrfinmean utility0.90cc-num utility0.90cc-numinf utility0.90cc-numfin utility0.90cc-finmean utility0.90cc-stderrfinmean utility0.90time-num utility0.90time-numinf utility0.90time-numfin utility0.90time-finmean utility0.90time-stderrfinmean utility1.00cc-num utility1.00cc-numinf utility1.00cc-numfin utility1.00cc-finmean utility1.00cc-stderrfinmean utility1.00time-num utility1.00time-numinf utility1.00time-numfin utility1.00time-finmean utility1.00time-stderrfinmean
herbbookshelf1nom lemur-nchaltonoffdens10000,2.0-1.00,0.00,0 0.0 50 0 50 7.572108322581598 0.3171896189179504 50 0 50 19314.02 3208.5185079581825 50 0 50 46.82807056899661 6.815024183992074 50 0 50 46.82234501236 6.815220334911154 50 0 50 16.6078995235 3.918454765917849 50 0 50 5.33052143646 1.4066915699845621 50 0 50 24.624663404119996 4.1623371391539905 50 0 50 7.572108322581598 0.3171896189179504 50 0 50 7.572108322581598 0.3171896189179504 50 0 50 45.442937490323445 6.603031719208206 50 0 50 11.497704547223101 0.8175882617645369 50 0 50 83.31376665806525 12.997620896830037 50 0 50 15.423300771864605 1.4628637571089729 50 0 50 121.18459582580712 19.393683830899143 50 0 50 19.3488969965061 2.1248926261373264 50 0 50 159.0554249935489 25.790124050697543 50 0 50 23.274493221147594 2.7917817729945456 50 0 50 196.92625416129079 32.186716623945664 50 0 50 27.200089445789093 3.460722577453779 50 0 50 234.79708332903266 38.58338577642345 50 0 50 31.125685670430602 4.130718405172892 50 0 50 272.6679124967744 44.98009883689421 50 0 50 35.0512818950721 4.8013276103835905 50 0 50 310.53874166451635 51.37683940496487 50 0 50 38.97687811971359 5.472324697630022 50 0 50 348.4095708322581 57.77359834364358 50 0 50 42.90247434435511 6.143582575746271 50 0 50 386.2804 64.17037015916364 50 0 50 46.82807056899661 6.815024183992074
herbbookshelf1nom lemur-nchaltonoffdens10000,2.0-0.90,0.10,0 0.1 50 0 50 7.572710742792199 0.31724318847380717 50 0 50 18767.68 3075.1616645659983 50 0 50 47.84186271668321 6.993486586502059 50 0 50 47.83509623894 6.993763328190706 50 0 50 17.79269703736 4.447219962616687 50 0 50 5.524736993740003 1.357325693183697 50 0 50 24.26523485176001 4.030296762139898 50 0 50 7.572710742792199 0.31724318847380717 50 0 50 7.572710742792199 0.31724318847380717 50 0 50 44.350799668512984 6.336725335144816 50 0 50 11.599625940181294 0.8253946536499229 50 0 50 81.12888859423377 12.464484288898628 50 0 50 15.626541137570396 1.4891295348081364 50 0 50 117.90697751995457 18.59377543927098 50 0 50 19.653456334959497 2.1701001249078553 50 0 50 154.68506644567532 24.723459253643586 50 0 50 23.68037153234861 2.8560041450137024 50 0 50 191.46315537139614 30.85330169900481 50 0 50 27.707286729737703 3.543978293396982 50 0 50 228.2412442971169 36.98322389781283 50 0 50 31.734201927126797 4.233013342209743 50 0 50 265.0193332228377 43.11319183155424 50 0 50 35.76111712451589 4.922663822576712 50 0 50 301.79742214855844 49.243188420488565 50 0 50 39.78803232190499 5.612702879042201 50 0 50 338.5755110742793 55.37320414794311 50 0 50 43.81494751929411 6.303002891498214 50 0 50 375.3536000000002 61.503233291319994 50 0 50 47.84186271668321 6.993486586502059
herbbookshelf1nom lemur-nchaltonoffdens10000,2.0-0.80,0.20,0 0.2 50 0 50 7.576041774055398 0.31771024127515424 50 0 50 18208.12 3008.44195850033 50 0 50 45.80543875215022 6.54435832036031 50 0 50 45.80079638546002 6.544403492261767 50 0 50 17.18667244172 4.071000568025288 50 0 50 5.219453265520001 1.2531298736895466 50 0 50 23.13125076166001 3.8115666604236713 50 0 50 7.576041774055398 0.31771024127515424 50 0 50 7.576041774055398 0.31771024127515424 50 0 50 43.234677596649874 6.203302234731458 50 0 50 11.398981471864875 0.7852548381255992 50 0 50 78.89331341924432 12.19756994340655 50 0 50 15.22192116967436 1.4025754563377086 50 0 50 114.55194924183877 18.193410937040444 50 0 50 19.04486086748384 2.0378218879909316 50 0 50 150.21058506443325 24.189655343030577 50 0 50 22.86780056529332 2.6782691369915845 50 0 50 185.86922088702778 30.186062757439068 50 0 50 26.690740263102793 3.320909586194886 50 0 50 221.5278567096221 36.18255213591698 50 0 50 30.513679960912285 3.964676881630237 50 0 50 257.18649253221656 42.179088520634316 50 0 50 34.33661965872175 4.609098877038566 50 0 50 292.8451283548111 48.17565435866462 50 0 50 38.15955935653125 5.253934671028542 50 0 50 328.5037641774056 54.17223986905464 50 0 50 41.98249905434071 5.899048565920284 50 0 50 364.1624000000001 60.1688391700066 50 0 50 45.80543875215022 6.54435832036031
herbbookshelf1nom lemur-nchaltonoffdens10000,2.0-0.70,0.30,0 0.3 50 0 50 7.576008608065997 0.31737627995273165 50 0 50 17214.54 2860.2848488390036 50 0 50 44.3693497610212 6.414340106436434 50 0 50 44.36349146917998 6.414128444922048 50 0 50 17.618450893039995 4.144083317068158 50 0 50 4.825907538 1.1369994171244378 50 0 50 21.650396686719997 3.6538989866071083 50 0 50 7.576008608065997 0.31737627995273165 50 0 50 7.576008608065997 0.31737627995273165 50 0 50 41.24748774725942 5.9033057449807185 50 0 50 11.255342723361515 0.7643685033052967 50 0 50 74.9189668864528 11.601520079317396 50 0 50 14.934676838657047 1.3683591016485122 50 0 50 108.5904460256462 17.301429883085493 50 0 50 18.61401095395256 1.9912734542834796 50 0 50 142.26192516483962 23.001774763358576 50 0 50 22.293345069248076 2.6196467748256445 50 0 50 175.93340430403308 28.702295499588043 50 0 50 25.972679184543594 3.250314507309305 50 0 50 209.6048834432264 34.40290467451115 50 0 50 29.652013299839123 3.8821586114489017 50 0 50 243.27636258241978 40.10356457420919 50 0 50 33.33134741513464 4.514685203745549 50 0 50 276.9478417216132 45.80425625952755 50 0 50 37.010681530430155 5.147642704174574 50 0 50 310.61932086080657 51.50496917614462 50 0 50 40.6900156457257 5.780889572307627 50 0 50 344.29079999999993 57.20569697678006 50 0 50 44.3693497610212 6.414340106436434
herbbookshelf1nom lemur-nchaltonoffdens10000,2.0-0.60,0.40,0 0.4 50 0 50 7.584355940906397 0.31809282888596796 50 0 50 16485.54 2768.5173014331504 50 0 50 43.22580995559159 6.25527115520629 50 0 50 43.21886786745999 6.255112636703183 50 0 50 17.596436716199996 4.218358893318248 50 0 50 4.4129928353 1.027467207093544 50 0 50 20.94070261846 3.581406880639503 50 0 50 7.584355940906397 0.31809282888596796 50 0 50 7.584355940906397 0.31809282888596796 50 0 50 39.79700034681576 5.716185808830769 50 0 50 11.14850134237492 0.7450121566941615 50 0 50 72.00964475272512 11.231122478481883 50 0 50 14.712646743843436 1.3324103188043201 50 0 50 104.22228915863448 16.747870874368985 50 0 50 18.276792145311955 1.939588997672215 50 0 50 136.43493356454388 22.265084331632487 50 0 50 21.840937546780477 2.5524709166465978 50 0 50 168.64757797045323 27.782485787581507 50 0 50 25.40508294824899 3.1677474897729883 50 0 50 200.86022237636254 33.29998179506895 50 0 50 28.969228349717522 3.784250865865021 50 0 50 233.0728667822718 38.81753203565332 50 0 50 32.53337375118605 4.401465568516693 50 0 50 265.2855111881812 44.3351162612473 50 0 50 36.097519152654556 5.019129183840214 50 0 50 297.49815559409063 49.8527231877051 50 0 50 39.66166455412308 5.637094149960227 50 0 50 329.7108 55.37034602866302 50 0 50 43.22580995559159 6.25527115520629
herbbookshelf1nom lemur-nchaltonoffdens10000,2.0-0.50,0.50,0 0.5 50 0 50 7.580170754059997 0.31806936795757057 50 0 50 15439.3 2515.435582720481 50 0 50 41.26947380063779 5.858613301160093 50 0 50 41.26407003542001 5.858503614466685 50 0 50 17.238927149 4.119487948327094 50 0 50 3.95333488946 0.8693697511586314 50 0 50 19.811832880379995 3.285646348090081 50 0 50 7.580170754059997 0.31806936795757057 50 0 50 7.580170754059997 0.31806936795757057 50 0 50 37.700753678654 5.211810753516605 50 0 50 10.94910105871778 0.7036741030840802 50 0 50 67.821336603248 10.220200174536972 50 0 50 14.31803136337556 1.249834450002962 50 0 50 97.94191952784196 15.23055248355212 50 0 50 17.68696166803334 1.8171281875591485 50 0 50 128.06250245243598 20.24141011319028 50 0 50 21.055891972691114 2.390557118366879 50 0 50 158.18308537702998 25.252472252355478 50 0 50 24.4248222773489 2.9665656255798347 50 0 50 188.30366830162401 30.263637312971838 50 0 50 27.79375258200668 3.5438961150284807 50 0 50 218.424251226218 35.274861431842865 50 0 50 31.162682886664467 4.121993149666895 50 0 50 248.54483415081202 40.28612257005908 50 0 50 34.531613191322236 4.700573918813791 50 0 50 278.66541707540597 45.29740844125003 50 0 50 37.90054349598003 5.2794793867491165 50 0 50 308.78599999999994 50.30871165440961 50 0 50 41.26947380063779 5.858613301160093
herbbookshelf1nom lemur-nchaltonoffdens10000,2.0-0.40,0.60,0 0.6 50 0 50 7.628934280350997 0.32336492526156807 50 0 50 14649.38 2416.4226633752364 50 0 50 40.3348828315736 5.836054758977343 50 0 50 40.32821490872001 5.836001401549092 50 0 50 18.225883164460008 4.525847626851246 50 0 50 3.3647389444400004 0.699289610783511 50 0 50 18.484014655 3.0886141149190696 50 0 50 7.628934280350997 0.32336492526156807 50 0 50 7.628934280350997 0.32336492526156807 50 0 50 36.16480085231589 5.015458240110407 50 0 50 10.89952913547326 0.6902095557205573 50 0 50 64.7006674242808 9.825432722612925 50 0 50 14.17012399059552 1.2329399203025129 50 0 50 93.23653399624568 14.63753686109087 50 0 50 17.440718845717775 1.798838437351229 50 0 50 121.77240056821057 19.450190047346435 50 0 50 20.711313700840048 2.3713763641939902 50 0 50 150.30826714017547 24.263065567666715 50 0 50 23.981908555962306 2.9466861485357834 50 0 50 178.84413371214043 29.076053015304442 50 0 50 27.252503411084568 3.5234102678564754 50 0 50 207.38000028410534 33.88910470197749 50 0 50 30.5230982662068 4.10095206429547 50 0 50 235.91586685607018 38.702196661162425 50 0 50 33.793693121329085 4.679008763831413 50 0 50 264.451733428035 43.51531552961429 50 0 50 37.06428797645134 5.257410527124744 50 0 50 292.9876 48.328453267504734 50 0 50 40.3348828315736 5.836054758977343
herbbookshelf1nom lemur-nchaltonoffdens10000,2.0-0.30,0.70,0 0.7 50 0 50 7.714982158995797 0.33907055154229676 50 0 50 13652.8 2243.4188468605194 50 0 50 38.253570127505014 5.423895824576754 50 0 50 38.24676604444 5.423963468103729 50 0 50 17.4767857299 4.2132828014105925 50 0 50 2.7545607490399995 0.5370071800824063 50 0 50 17.763399004239997 2.9191089381978914 50 0 50 7.714982158995797 0.33907055154229676 50 0 50 7.714982158995797 0.33907055154229676 50 0 50 34.24908394309622 4.681619971549736 50 0 50 10.768840955846722 0.6649353369858748 50 0 50 60.78318572719665 9.143835343393842 50 0 50 13.822699752697638 1.1609468157444938 50 0 50 87.31728751129704 13.608506403208919 50 0 50 16.876558549548566 1.6828381855566141 50 0 50 113.85138929539748 18.073813398816885 50 0 50 19.93041734639948 2.2123696688648384 50 0 50 140.3854910794979 22.539378375064437 50 0 50 22.984276143250405 2.745123510486221 50 0 50 166.9195928635984 27.005073353045844 50 0 50 26.038134940101326 3.279529686875955 50 0 50 193.4536946476987 31.470842991290294 50 0 50 29.091993736952237 3.8148938634702088 50 0 50 219.98779643179915 35.936659456208496 50 0 50 32.145852533803165 4.350862415102326 50 0 50 246.52189821589968 40.40250722010391 50 0 50 35.19971133065408 4.887236505830558 50 0 50 273.0560000000001 44.86837693721038 50 0 50 38.253570127505014 5.423895824576754
herbbookshelf1nom lemur-nchaltonoffdens10000,2.0-0.20,0.80,0 0.8 50 0 50 7.812740837070797 0.354906056270626 50 0 50 11735.84 1905.1821223908094 50 0 50 34.628311190586 4.996433476183638 50 0 50 34.62210626104 4.99634618144209 50 0 50 17.236413969960005 4.148425058092592 50 0 50 2.0079837194999994 0.3873642870646077 50 0 50 15.136896701139996 2.484987563978434 50 0 50 7.812740837070797 0.354906056270626 50 0 50 7.812740837070797 0.354906056270626 50 0 50 30.503146753363726 4.004041400411667 50 0 50 10.49429787242232 0.6224189862811527 50 0 50 53.19355266965667 7.788796614471153 50 0 50 13.175854907773841 1.0689795749487938 50 0 50 75.88395858594957 11.576915556612542 50 0 50 15.857411943125351 1.5465749643327693 50 0 50 98.57436450224247 15.365910674158929 50 0 50 18.53896897847688 2.0334541451463486 50 0 50 121.26477041853538 19.15526204011522 50 0 50 21.220526013828394 2.5242508298490427 50 0 50 143.9551763348283 22.944793151010966 50 0 50 23.90208304917992 3.017053793859674 50 0 50 166.6455822511212 26.734427571912487 50 0 50 26.583640084531442 3.511018340818128 50 0 50 189.33598816741411 30.524126824381778 50 0 50 29.265197119882963 4.005714772115992 50 0 50 212.02639408370712 34.313869428002505 50 0 50 31.94675415523448 4.500901768868547 50 0 50 234.71680000000012 38.103642447816185 50 0 50 34.628311190586 4.996433476183638
herbbookshelf1nom lemur-nchaltonoffdens10000,2.0-0.10,0.90,0 0.9 50 0 50 8.6600762791338 0.4551800280428086 50 0 50 11373.36 1721.1157080860103 50 0 50 33.2412997150222 4.821065200748466 50 0 50 33.235011122459994 4.8210759570909145 50 0 50 16.930389820459997 4.076431329751673 50 0 50 1.3509603154799998 0.28240272444107656 50 0 50 14.700313467420003 2.246366471306732 50 0 50 8.6600762791338 0.4551800280428086 50 0 50 8.6600762791338 0.4551800280428086 50 0 50 30.540788651220428 3.6816818539172615 50 0 50 11.118198622722643 0.6380235068521478 50 0 50 52.42150102330703 7.089615904405242 50 0 50 13.576320966311478 1.036551873688218 50 0 50 74.30221339539365 10.503847202502772 50 0 50 16.034443309900322 1.4863667893830845 50 0 50 96.18292576748024 13.919742756892186 50 0 50 18.49256565348916 1.9523353534931405 50 0 50 118.06363813956686 17.336318835484573 50 0 50 20.950687997077992 2.425164136012483 50 0 50 139.9443505116535 20.75323933982595 50 0 50 23.408810340666843 2.9015012484724076 50 0 50 161.82506288374015 24.170358197792993 50 0 50 25.86693268425568 3.379863689168025 50 0 50 183.7057752558267 27.58760170268768 50 0 50 28.325055027844524 3.859498448504654 50 0 50 205.5864876279134 31.004928640228332 50 0 50 30.78317737143336 4.339983714813564 50 0 50 227.46719999999996 34.42231416172019 50 0 50 33.2412997150222 4.821065200748466
