planner-seedless planner-dur-total-numfin planner-dur-total-finmean planner-dur-roadmapgen-numfin planner-dur-roadmapgen-finmean planner-dur-search-numfin planner-dur-search-finmean planner-dur-eval-numfin planner-dur-eval-finmean
lemur-nchaltonoffdens10000,2.0-0.01,0.99,0 50 5.7559488916999975 50 4.073417140479999 50 0.062110155959999976 50 1.5605542957999998
lemur-nchaltonoffdens10000,2.0-0.10,0.90,0 50 5.936954794979999 50 3.9696367739400005 50 0.06507339790000004 50 1.84504947084
lemur-nchaltonoffdens10000,2.0-0.20,0.80,0 50 6.019073746720002 50 4.039556008920001 50 0.07441783224 50 1.8460021258799992
lemur-nchaltonoffdens10000,2.0-0.30,0.70,0 50 6.222417029399999 50 4.064639369700001 50 0.0865222501 50 2.0085136224199998
lemur-nchaltonoffdens10000,2.0-0.40,0.60,0 50 6.4071615901799985 50 3.9861095256599994 50 0.10697374183999996 50 2.25722555078
lemur-nchaltonoffdens10000,2.0-0.50,0.50,0 50 6.4188032739 50 3.9788334619399994 50 0.12033901726000001 50 2.2606198629599987
lemur-nchaltonoffdens10000,2.0-0.60,0.40,0 50 6.4583289335200025 50 4.00097849258 50 0.12763793894 50 2.26910939982
lemur-nchaltonoffdens10000,2.0-0.70,0.30,0 50 6.637734854220001 50 3.98419900698 50 0.14433268145999997 50 2.45292600698
lemur-nchaltonoffdens10000,2.0-0.80,0.20,0 50 6.479428892499999 50 3.8884657737800006 50 0.15891330096 50 2.37591530278
lemur-nchaltonoffdens10000,2.0-0.90,0.10,0 50 6.658553360779999 50 4.00560095642 50 0.16438323715999995 50 2.4294787594600002
lemur-nchaltonoffdens10000,2.0-1.00,0.00,0 50 6.6425360390599995 50 3.997696531680001 50 0.14121746261999998 50 2.4422706645199996
