planner-seedless planner-dur-total-numfin planner-dur-total-finmean planner-dur-roadmapgen-numfin planner-dur-roadmapgen-finmean planner-dur-search-numfin planner-dur-search-finmean planner-dur-eval-numfin planner-dur-eval-finmean
lemur-haltonoffdens10000,2.0-0.01,0.99,0 50 1.8422177246600002 50 0.19643193132 50 0.14446711478000002 50 1.4422255482200002
lemur-haltonoffdens10000,2.0-0.10,0.90,0 50 1.9741635004399996 50 0.2015574327 50 0.13649491178 50 1.5770908580799994
lemur-haltonoffdens10000,2.0-0.20,0.80,0 50 2.04109608694 50 0.19898204894000002 50 0.14571748397999998 50 1.6354439177199995
lemur-haltonoffdens10000,2.0-0.30,0.70,0 50 2.17950267046 50 0.17663604132 50 0.15026427056000002 50 1.8002780443
lemur-haltonoffdens10000,2.0-0.40,0.60,0 50 2.33555624164 50 0.18450595977999998 50 0.16666588587999998 50 1.9308735804200003
lemur-haltonoffdens10000,2.0-0.50,0.50,0 50 2.488565221319999 50 0.19893669324000007 50 0.19334277963999993 50 2.0381679505
lemur-haltonoffdens10000,2.0-0.60,0.40,0 50 2.54963756404 50 0.18305592535999998 50 0.19534590720000003 50 2.11757154142
lemur-haltonoffdens10000,2.0-0.70,0.30,0 50 2.71718422576 50 0.20491018639999997 50 0.21171339995999996 50 2.2401684287199997
lemur-haltonoffdens10000,2.0-0.80,0.20,0 50 2.8855096135999996 50 0.21811307595999996 50 0.22846246328000006 50 2.37251911312
lemur-haltonoffdens10000,2.0-0.90,0.10,0 50 2.9386858351000003 50 0.19843820906 50 0.23235040425999998 50 2.4506090110400005
lemur-haltonoffdens10000,2.0-1.00,0.00,0 50 2.937527028619999 50 0.1820524617 50 0.19251888016000007 50 2.5062942580799996
