lambda-u utility-finmean-conloop
0.0 4.643836988705477
0.1 5.1981685548792305
0.2 5.372271035806096
0.3 5.201708235045318
0.4 4.873550071649838
0.5 4.401257616705142
0.6 3.8410939638961614
0.7 3.0158229974110604
0.8 2.2515532909530953
0.9 1.4897773335190674
1.0 0.7332015734927063
1.0 0.5515418308954135
0.9 1.2537790659769212
0.8 1.9508161036507594
0.7 2.645359392300663
0.6 3.3479208406735084
0.5 3.8909007765953207
0.4 4.336755742736768
0.3 4.672327770263758
0.2 4.865184405014248
0.1 4.838085854960062
0.0 4.474915172248121
