lambda-u utility-finmean-conloop
0.0 5.829482996523306
0.1 6.0687959119979915
0.2 6.310083063772626
0.3 6.55380680508624
0.4 6.800490231767136
0.5 7.050672337437155
0.6 7.304828298046036
0.7 7.563269127661472
0.8 7.826060201925982
0.9 8.093002517212835
1.0 8.363687988671515
1.0 7.909853204337001
0.9 7.661538721263556
0.8 7.409481082018269
0.7 7.1532722017506485
0.6 6.892713076833955
0.5 6.627869082910704
0.4 6.35905123404859
0.3 6.086734706197357
0.2 5.811458492978832
0.1 5.533745690221341
0.0 5.254058651163894
