lambda-u utility-finmean-conloop
0.0 6.054703591147417
0.1 5.881940942732754
0.2 5.709597487769034
0.3 5.5377776791341145
0.4 5.366617850545321
0.5 5.196295792346616
0.6 5.027041215936677
0.7 4.859144154871418
0.8 4.692954642631546
0.9 4.528862488335899
1.0 4.36724549191156
1.0 4.145131064484839
0.9 4.298384470310343
0.8 4.449162718264534
0.7 4.597843608274502
0.6 4.744816949459082
0.5 4.890432775298983
0.4 5.034981119350119
0.3 5.1786916930111655
0.2 5.321742286626086
0.1 5.464269233912207
0.0 5.6063769877473835
