lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 5.242049199999999 0.13351018024660144 10.0 rrtconnect-default-sc10.00
0.1 5.167412641057613 0.13308586331195166 2.5 rrtconnect-default-sc02.50
0.2 4.892287346115224 0.137988165992684 1.6 rrtconnect-default-sc01.60
0.3 4.6045310191728355 0.1317533010869119 1.6 rrtconnect-default-sc01.60
0.4 4.316774692230448 0.12776229754035962 1.6 rrtconnect-default-sc01.60
0.5 3.8810138652880593 0.1487893815257691 1.0 rrtconnect-default-sc01.00
0.6 3.5028584383456716 0.1442306756854551 1.0 rrtconnect-default-sc01.00
0.7 3.1714894234032847 0.2215485331558777 0.63 rrtconnect-default-sc00.63
0.8 2.654405192460896 0.19413022874819888 0.63 rrtconnect-default-sc00.63
0.9 2.0710212495185076 0.17994654567533236 0.25 rrtconnect-default-sc00.25
1.0 0.9902367305761198 0.15387134626806348 0.0 rrtconnect-default-sc00.00
