lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 3.9683318044134013 0.0595549316941722 4.0 larastar-haltonoffdens10000,1.0-sc04.00
0.1 3.886489674886476 0.05483685057531386 2.5 larastar-haltonoffdens10000,1.0-sc02.50
0.2 3.739735726114832 0.07358109326543483 1.6 larastar-haltonoffdens10000,1.0-sc01.60
0.3 3.4393897036043883 0.06923714940219414 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 3.0349902680369834 0.059650542852620496 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 2.6305908324695806 0.05011464227934319 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 2.226191396902176 0.040665134720844084 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 1.821791961334772 0.0313801640506534 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 1.4173925257673679 0.02246468145180546 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 1.0129930901999638 0.014611462367604343 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 0.6085936546325599 0.010545779023495403 0.0 larastar-haltonoffdens10000,1.0-sc00.00
