lambda-u utility-finmean-conloop
0.0 4.07747333379992
0.1 4.027849388554599
0.2 3.9792389729475066
0.3 3.931245004192039
0.4 3.8836501613793897
0.5 3.6802767171039608
0.6 3.382969018122427
0.7 2.976059071570458
0.8 2.5716585439281405
0.9 2.1719471894951856
1.0 1.7814940231383418
1.0 1.537985461420058
0.9 1.869349401045135
0.8 2.191455152594098
0.7 2.5088717309337025
0.6 2.823778890363655
0.5 3.192719882901239
0.4 3.3752181124018894
0.3 3.4833839423249207
0.2 3.5911506463051333
0.1 3.6983009034337226
0.0 3.8044376309240806
