lambda-u utility-finmean-conloop
0.0 4.488417656130923
0.1 4.644037961788988
0.2 4.824917904310107
0.3 4.9834254022760085
0.4 5.120381534618047
0.5 5.2703450238234435
0.6 5.3869639614779805
0.7 5.437998666475496
0.8 5.34201078110074
0.9 5.535823661468613
1.0 5.329446108172356
1.0 4.976388833691243
0.9 5.153880721219228
0.8 5.030044303523818
0.7 5.084956541343669
0.6 4.9469167476105005
0.5 4.8673929977677535
0.4 4.75236415381683
0.3 4.621230742177792
0.2 4.485103391865655
0.1 4.347577908907492
0.0 4.211864699529078
