lambda-u utility-finmean-conloop
0.0 11.084936780510297
0.1 10.071116136282422
0.2 9.057384979751529
0.3 8.043779100968207
0.4 7.030356185022571
0.5 6.017215418981696
0.6 5.00454245231555
0.7 3.9927274701421016
0.8 2.9827391422304115
0.9 1.9776667301470126
1.0 0.9910564525930362
1.0 0.8256719772012834
0.9 1.7097388366678758
0.8 2.5753435616050413
0.7 3.4360323707139218
0.6 4.294894525561042
0.5 5.152898695915466
0.4 6.010435066895157
0.3 6.867689287970088
0.2 7.724760546207335
0.1 8.58170652669701
0.0 9.438563019489699
