lambda-u utility-finmean-conloop
0.0 4.590314268656137
0.1 5.192535322624098
0.2 5.794812495674797
0.3 6.397166129801243
0.4 6.999627497134775
0.5 7.602247013135351
0.6 8.205110753500328
0.7 8.808376127923225
0.8 9.412354444045276
0.9 10.017707077136162
1.0 10.625830052004682
1.0 10.568216111554365
0.9 9.946598520837092
0.8 9.3222105883422
0.7 8.696448338878461
0.6 8.069973147715576
0.5 7.443096322494766
0.4 6.815975272909559
0.3 6.188696074657305
0.2 5.5613091431979695
0.1 4.933845750662892
0.0 4.306326239045063
