lambda-u utility-finmean-conloop
0.0 5.580265231780098
0.1 5.581961774430234
0.2 5.5850632832242395
0.3 5.589891725980799
0.4 5.596824283340326
0.5 5.606277094259956
0.6 5.618667125710038
0.7 5.634350693075127
0.8 5.653551350837934
0.9 5.6763051330891034
1.0 5.7024510299495335
1.0 5.31654561883967
0.9 5.30301548604074
0.8 5.286093238632545
0.7 5.265617866735995
0.6 5.2416254044417165
0.5 5.214339406232443
0.4 5.1841161874927115
0.3 5.151372715192881
0.2 5.1165251282900845
0.1 5.0799506074247285
0.0 5.041971120415505
