lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 5.2017288 0.12426634018505038 10.0 rrtconnect-default-sc10.00
0.1 5.054556472046444 0.12242920470647349 2.5 rrtconnect-default-sc02.50
0.2 4.758086752092888 0.12341181851356553 1.6 rrtconnect-default-sc01.60
0.3 4.4524376081393315 0.11143780529414571 1.6 rrtconnect-default-sc01.60
0.4 4.127147008185776 0.14422054858959038 1.0 rrtconnect-default-sc01.00
0.5 3.7247714402322196 0.1256082001530616 1.0 rrtconnect-default-sc01.00
0.6 3.322395872278664 0.1074962542133789 1.0 rrtconnect-default-sc01.00
0.7 2.9200203043251087 0.09018669972967062 1.0 rrtconnect-default-sc01.00
0.8 2.3966172563715515 0.10979820876810006 0.63 rrtconnect-default-sc00.63
0.9 1.7046714604179962 0.08793190124745708 0.25 rrtconnect-default-sc00.25
1.0 0.7128936004644401 0.05166485949692116 0.0 rrtconnect-default-sc00.00
