lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 3.795195006035199 0.20741088236699293 10.0 bitstar-default-sc10.00
0.1 4.690053158338575 0.27173404423606634 6.3 bitstar-default-sc06.30
0.2 4.9916072237087885 0.29425112707173495 4.0 bitstar-default-sc04.00
0.3 5.036976515767461 0.29009781929835393 1.6 bitstar-default-sc01.60
0.4 4.852604537316336 0.2895135707537341 1.0 bitstar-default-sc01.00
0.5 4.661406414262271 0.2989176148657462 0.63 bitstar-default-sc00.63
0.6 4.385130497704205 0.33486400469940947 0.0 bitstar-default-sc00.00
0.7 3.975075211592137 0.3635890113395291 0.0 bitstar-default-sc00.00
0.8 3.5650199254800725 0.3938038103085041 0.0 bitstar-default-sc00.00
0.9 3.1549646393680053 0.4251909185098456 0.0 bitstar-default-sc00.00
1.0 2.7449093532559408 0.4575091230523232 0.0 bitstar-default-sc00.00
