lambda-u utility-finmean-conloop
0.0 4.537065750287663
0.1 4.314150721964706
0.2 4.133389478935398
0.3 3.9320264958956868
0.4 3.6699919934780243
0.5 3.447230494053208
0.6 3.2246025226205584
0.7 2.878120298251995
0.8 2.596699883082307
0.9 2.1289746359583486
1.0 1.5840862617070313
1.0 1.2077004280508885
0.9 1.6200552232476197
0.8 2.0216993820313567
0.7 2.3022511881486607
0.6 2.6224455102108832
0.5 2.8643818331337925
0.4 3.1061846280645358
0.3 3.360619400782329
0.2 3.5943304397299465
0.1 3.814025954893991
0.0 4.060802212352337
