lambda-u utility-finmean-conloop
0.0 4.537065750287663
0.1 4.707410277842542
0.2 4.878660444857294
0.3 5.0506736319287615
0.4 5.22333035957019
0.5 5.396531276342241
0.6 5.570194050641158
0.7 5.744250496580466
0.8 5.880627872794012
0.9 5.733444660699022
1.0 5.59625762783222
1.0 5.116483537330982
0.9 5.144444226371699
0.8 5.162408736184229
0.7 5.043467521988734
0.6 4.904688245652444
0.5 4.765515297675758
0.4 4.62588049217221
0.3 4.485701497538036
0.2 4.344878962333908
0.1 4.203293407073059
0.0 4.060802212352337
