lambda-u utility-finmean-conloop
0.0 5.794919655900573
0.1 6.615691249403502
0.2 6.6979647819498
0.3 6.6388238291347985
0.4 6.3970847537909865
0.5 5.991950106811649
0.6 5.529641447459269
0.7 4.941844359769829
0.8 4.267196584522155
0.9 3.595770526222804
1.0 2.927184150746439
1.0 1.663764497703922
0.9 2.3879844899172005
0.8 3.1093647993074867
0.7 3.827523391749465
0.6 4.473079965819267
0.5 4.947813458657133
0.4 5.363965858863713
0.3 5.565995097502183
0.2 5.735600799416751
0.1 5.692018188391094
0.0 5.265454902344228
