lambda-u utility-finmean-conloop
0.0 7.653868656152194
0.1 7.30914650807101
0.2 6.970532296822027
0.3 6.6388238291347985
0.4 6.314666816059407
0.5 5.998443448235354
0.6 5.690195962900509
0.7 5.389617711817268
0.8 5.096115811693194
0.9 4.808917978755786
1.0 4.527184150746439
1.0 3.263764497703922
0.9 3.6125835665783788
0.8 3.955938630524772
0.7 4.292989627284507
0.6 4.622964273085065
0.5 4.9452696846340265
0.4 5.259599213693778
0.3 5.565995097502183
0.2 5.8648395266987645
0.1 6.1567782123335855
0.0 6.44260896113621
