lambda-u utility-finmean-conloop
0.0 9.242685781954192
0.1 8.553584770012675
0.2 7.866353739839095
0.3 7.181248215655181
0.4 6.498516585347254
0.5 5.818377356505815
0.6 5.140993699104188
0.7 4.4664509810504525
0.8 3.794743810311142
0.9 3.1257768781189466
1.0 2.4593793127202903
1.0 1.9070880678022282
0.9 2.5901075727248806
0.8 3.2705577108539927
0.7 3.9482676104359937
0.6 4.623141962703562
0.5 5.295175375623241
0.4 5.964453217103115
0.3 6.631138657116498
0.2 7.295450203253891
0.1 7.9576362434016215
0.0 8.61795230178141
