lambda-u utility-finmean-conloop
0.0 6.370926208161826
0.1 6.185769451386231
0.2 5.824726240909442
0.3 5.432258854188894
0.4 5.0438409977083305
0.5 4.4927147611566065
0.6 4.022187026462661
0.7 3.4688369136817596
0.8 2.9130685189062997
0.9 2.2494379355077454
1.0 1.1832988104909683
1.0 0.6039152016543118
0.9 1.5893120914230057
0.8 2.3402887228099236
0.7 2.887591942819937
0.6 3.539722500824507
0.5 4.012868644916032
0.4 4.622679743149781
0.3 5.01414634145469
0.2 5.401563409519614
0.1 5.805603613828299
0.0 6.005339551838173
