lambda-u utility-finmean-conloop
0.0 7.458297984892491
0.1 6.884191240074601
0.2 6.311711753778878
0.3 5.7411553686412145
0.4 5.172855544950239
0.5 4.607172225556466
0.6 4.044469899590048
0.7 3.485083956638612
0.8 2.92927889217548
0.9 2.3772076899435377
1.0 1.828885159469264
1.0 1.2432519293072155
0.9 1.798297561955294
0.8 2.3495945228457025
0.7 2.8971576215049253
0.6 3.4411398416758394
0.5 3.981805678831775
0.4 4.5194905225603526
0.3 5.05455886199173
0.2 5.587370639976422
0.1 6.118259316803047
0.0 6.647520735107506
