lambda-u utility-finmean-conloop
0.0 5.011126529504299
0.1 4.706417978512924
0.2 4.371433872372556
0.3 4.036659650227041
0.4 3.6552261308509215
0.5 3.2505432243725183
0.6 2.846835756762744
0.7 2.444103245888429
0.8 2.0423246097102155
0.9 1.5542335722462164
1.0 0.8816778386176962
1.0 0.7401873576103835
0.9 1.3466424147819744
0.8 1.7655829127544413
0.7 2.171264164212297
0.6 2.57599154097405
0.5 2.9797439610003416
0.4 3.382520942158006
0.3 3.7857118871422677
0.2 4.139983761412717
0.1 4.492183809954321
0.0 4.823965163054501
