lambda-u utility-finmean-conloop
0.0 5.011126529504299
0.1 4.717609772586228
0.2 4.393681154263735
0.3 4.081825591142639
0.4 3.7025425741136244
0.5 3.36894296750109
0.6 3.0357536328517782
0.7 2.444103245888429
0.8 2.0423246097102155
0.9 1.5542335722462164
1.0 0.8816778386176962
1.0 0.7401873576103835
0.9 1.3466424147819744
0.8 1.7655829127544413
0.7 2.171264164212297
0.6 2.719479615269638
0.5 3.0753363770362907
0.4 3.430782866839719
0.3 3.8122868880255036
0.2 4.152675979553962
0.1 4.4985166645580525
0.0 4.823965163054501
