lambda-u utility-finmean-conloop
0.0 5.53385523150123
0.1 6.196358742149805
0.2 6.888590694439547
0.3 7.592655335466012
0.4 8.302156136489254
0.5 9.014522353401137
0.6 9.728564229793983
0.7 10.443664798170552
0.8 11.159474783914709
0.9 11.875782478607738
1.0 12.592452405924657
1.0 9.311912590031984
0.9 8.893633620977239
0.8 8.474992419298603
0.7 8.055853508671088
0.6 7.636005180675997
0.5 7.215098160697181
0.4 6.792515481237404
0.3 6.367067385888983
0.2 5.936183130543784
0.1 5.4934661864618555
0.0 5.021020800738775
