lambda-u utility-finmean-conloop
0.0 5.225575373656005
0.1 5.54147656107976
0.2 5.828097917850599
0.3 6.130540964276699
0.4 6.32406162968598
0.5 6.590700411040142
0.6 6.85763190282097
0.7 6.661665617678601
0.8 6.831565291771556
0.9 7.995649229431791
1.0 7.923603553249318
1.0 5.907956820054682
0.9 6.114003366870971
0.8 5.754350474941882
0.7 5.675170678876761
0.6 6.033076890158306
0.5 5.835123212268057
0.4 5.636876823951143
0.3 5.525280201021976
0.2 5.288455646738525
0.1 5.060967682503284
0.0 4.810334699899196
