lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 6.779954197147597 0.21814354542882325 10.0 larastar-haltonoffdens10000,1.0-sc10.00
0.1 7.3535517258102425 0.336956924558112 2.5 larastar-haltonoffdens10000,1.0-sc02.50
0.2 7.34724787204524 0.4508773103063137 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.3 7.387379516690459 0.5846184364609038 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 7.427511161335678 0.7235771406512624 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 7.4676428059808995 0.8652432233876497 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 7.507774450626118 1.0084763694234844 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 7.5479060952713395 1.1526925586100674 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 7.588037739916559 1.2975640549069645 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 7.6281693845617795 1.4428934865125396 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 7.668301029207 1.5885551753641258 0.0 larastar-haltonoffdens10000,1.0-sc00.00
