lambda-u utility-finmean-conloop
0.0 7.7316492822905944
0.1 7.991532443887679
0.2 8.310967400245618
0.3 8.653231652153831
0.4 9.005722357012155
0.5 9.363519523820694
0.6 9.72438813469615
0.7 10.087183510147074
0.8 10.45126328753421
0.9 10.81624061812636
1.0 11.181869172920686
1.0 4.954732885493312
0.9 5.160098150997204
0.8 5.364812192298909
0.7 5.56862868039561
0.6 5.771160766556092
0.5 5.971766088141107
0.4 6.169299965659207
0.3 6.361527381227089
0.2 6.543528343844868
0.1 6.702700010912364
0.0 6.802319883219002
