lambda-u utility-finmean-conloop
0.0 7.092278347301334
0.1 7.146186314047684
0.2 7.180295659496021
0.3 7.218757645537051
0.4 7.084811741391675
0.5 7.004454798866065
0.6 6.925471948712872
0.7 6.847466834600642
0.8 6.770180359900827
0.9 6.693436638980347
1.0 6.452610992580615
1.0 3.476166101303186
0.9 3.7417397759638567
0.8 4.060390756495668
0.7 4.378498983248145
0.6 4.695888570588201
0.5 5.012300421887297
0.4 5.327338180813971
0.3 5.542566053837233
0.2 5.805251686233371
0.1 6.0635846780368094
0.0 6.293368390827067
